Data/hora da exportação;25/11/2023 às 10h4min
Observatório da Agropecuária Brasileira

Brasil;01/07/2022;até;31/10/2023

Filtros aplicados
Região;Todos(as);
UF;Todos(as);
Programa;Todos(as);
Subprograma;Todos(as);
Finalidade;Todos(as);
Atividade;Todos(as);
Fonte de recursos;Todos(as);
Gênero;Todos(as);
Instituição Financiera;Todos(as);
Modalidade;Todos(as);
Produto;Todos(as);
Segmento;Todos(as);

Programa;Subprograma;Região;UF;Finalidade;Quantidade (01/07/2022 - 31/10/2023);
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;BA;Investimento;20;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;BA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;BA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;GO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;GO;Investimento;2;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;GO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;GO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;MA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;MA;Investimento;5;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;MA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;MA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;MG;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;MG;Investimento;25;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;MG;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;MG;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MS;Investimento;37;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MT;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MT;Investimento;13;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MT;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Centro-oeste;MT;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;PA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;PA;Investimento;6;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;PA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;PA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;PR;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;PR;Investimento;18;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;PR;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;PR;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;RS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;RS;Investimento;37;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;RS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;RS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;SC;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;SC;Investimento;7;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;SC;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sul;SC;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;SP;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;SP;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;SP;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Sudeste;SP;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;TO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;TO;Investimento;10;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;TO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Norte;TO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;BA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;BA;Investimento;7;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;BA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;BA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;ES;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;ES;Investimento;2;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;ES;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;ES;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;GO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;GO;Investimento;7;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;GO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;GO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;MA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;MA;Investimento;8;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;MA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;MA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;MG;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;MG;Investimento;39;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;MG;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;MG;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MS;Investimento;9;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MT;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MT;Investimento;61;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MT;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Centro-oeste;MT;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;PA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;PA;Investimento;3;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;PA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;PA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;PI;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;PI;Investimento;7;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;PI;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Nordeste;PI;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;PR;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;PR;Investimento;23;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;PR;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;PR;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RO;Investimento;3;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RR;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RR;Investimento;2;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RR;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;RR;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;RS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;RS;Investimento;76;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;RS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;RS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;SC;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;SC;Investimento;3;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;SC;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sul;SC;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;SP;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;SP;Investimento;5;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;SP;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Sudeste;SP;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;TO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;TO;Investimento;8;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;TO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Não informado;Norte;TO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;BA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;BA;Investimento;38;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;BA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;BA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;GO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;GO;Investimento;51;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;GO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;GO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;MA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;MA;Investimento;17;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;MA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Nordeste;MA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Sudeste;MG;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Sudeste;MG;Investimento;121;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Sudeste;MG;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Sudeste;MG;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MS;Investimento;46;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MT;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MT;Investimento;100;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MT;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Centro-oeste;MT;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Norte;PA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Norte;PA;Investimento;5;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Plantio direto;Norte;PA;Industrialização;0;
