,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Variação REAL Anual (em %) de cada segmento do PIB-RENDA do Agronegócio Cepea-USP/CNA,,,,,,,,,,,,,,,,,,Variação Anual (em %) de cada segmento do PIB-VOLUME do Agronegócio Cepea-USP/CNA,,,,,,,,,,,,,,,,
2004,"14,59","-8,44","-1,83","-5,61","-4,25",,"18,49","-14,30","-2,32","-6,88","-5,95",,"6,24","9,68","0,92","-0,71","2,50",,"6,31","-0,02","5,98","5,08","4,41",,"7,51","-3,21","5,62","4,01","3,32",,"3,75","9,83","7,98","9,21","8,74"
2005,"-21,41","-19,03","-2,90","-6,94","-8,61",,"-29,59","-18,43","-3,52","-7,34","-8,86",,"-1,88","-20,48","0,42","-5,48","-7,69",,"-11,61","-1,97","1,11","-0,30","-0,71",,"-18,49","-0,25","0,85","-0,07","-0,57",,"4,81","-6,13","2,50","-1,12","-1,19"
2006,"-15,09","12,46","-2,57","-1,69","-0,21",,"-17,53","24,40","-0,80","2,17","3,80",,"-10,93","-17,18","-11,76","-15,40","-14,61",,"-3,86","8,75","2,39","2,80","3,37",,"-5,34","11,86","2,50","3,37","4,05",,"-1,32","1,03","1,82","0,74","0,92"
2007,"23,01","6,52","-1,33","2,47","2,71",,"35,41","4,17","-6,33","-5,62","-3,06",,"3,36","15,31","27,78","37,19","27,91",,"20,30","0,28","3,21","2,60","2,97",,"30,60","2,86","4,13","4,46","4,74",,"3,98","-9,34","-2,16","-5,40","-4,75"
2008,"26,51","9,89","0,25","3,54","4,69",,"33,20","-3,01","-0,66","0,44","0,61",,"12,61","53,35","4,11","12,66","18,17",,"8,71","8,76","0,04","1,19","2,59",,"11,58","4,60","0,85","1,96","2,45",,"2,75","22,78","-3,41","-1,07","3,04"
2009,"-20,93","-15,36","-0,87","-2,94","-5,71",,"-26,51","-15,73","0,35","-2,37","-5,12",,"-7,20","-14,58","-5,82","-4,42","-7,35",,"-7,70","3,10","-2,92","-2,72","-1,86",,"-9,85","2,83","-2,92","-2,84","-2,15",,"-2,43","3,69","-2,91","-2,41","-1,03"
2010,"2,06","21,73","3,25","6,90","8,24",,"3,92","25,06","2,24","5,63","7,61",,"-1,57","14,75","7,65","10,30","10,06",,"13,07","5,78","6,74","6,86","6,88",,"17,56","4,51","7,23","7,50","7,29",,"4,33","8,44","4,63","5,11","5,71"
2011,"8,05","14,88","-4,94","-3,43","0,27",,"5,36","21,76","-3,36","0,19","3,35",,"13,56","-0,90","-11,46","-12,74","-8,41",,"4,38","0,92","-0,88","-1,02","-0,38",,"4,56","2,29","-0,18","0,27","0,67",,"4,03","-2,21","-3,79","-4,34","-3,31"
2012,"3,19","-10,97","-3,55","-5,91","-6,04",,"5,09","-9,26","-2,31","-3,70","-4,22",,"-0,43","-15,77","-9,10","-12,44","-11,85",,"2,30","-3,79","0,10","0,17","-0,68",,"4,44","-3,37","-0,92","-1,12","-1,36",,"-1,78","-4,99","4,73","3,96","1,51"
2013,"2,77","3,98","-0,88","0,53","0,99",,"6,11","-7,26","-3,07","-3,92","-3,97",,"-3,96","38,05","9,69","15,01","18,13",,"6,15","12,91","1,48","5,30","5,92",,"9,16","11,98","-0,22","3,00","4,17",,"0,11","15,74","9,69","12,77","11,95"
2014,"-3,03","-0,61","-0,69","1,12","0,03",,"-4,33","-7,53","-3,50","-4,41","-4,77",,"-0,14","13,48","11,32","16,13","13,51",,"-0,66","1,39","-1,22","-0,87","-0,45",,"-2,47","0,88","-1,07","-0,69","-0,56",,"3,37","2,41","-1,84","-1,37","-0,13"
2015,"-2,20","-0,43","3,15","6,07","3,43",,"-3,73","1,76","2,23","4,60","2,93",,"1,07","-4,07","6,59","9,35","4,61",,"-6,40","5,74","-5,40","-3,44","-2,06",,"-10,22","10,13","-4,66","-1,73","-0,65",,"1,75","-1,55","-8,16","-7,27","-5,39"
2016,"1,41","12,43","3,91","6,39","6,79",,"-3,43","18,80","5,65","10,47","10,05",,"11,24","1,21","-2,29","-2,32","-0,76",,"3,68","-5,49","-3,33","-3,62","-3,63",,"5,04","-8,62","-3,44","-4,02","-4,37",,"0,94","0,02","-2,95","-2,75","-1,90"
2017,"-4,92","-8,32","-3,65","-5,28","-5,52",,"-4,28","-6,63","-4,41","-6,55","-5,85",,"-6,03","-11,84","-0,71","-2,22","-4,66",,"1,35","12,35","2,91","5,09","6,00",,"1,23","21,70","2,88","6,80","8,61",,"1,57","-6,97","3,01","0,94","-0,70"
2018,"11,87","-4,19","0,82","-1,41","-0,86",,"16,96","-4,72","4,31","4,27","2,86",,"2,75","-3,02","-12,11","-14,55","-10,33",,"4,84","2,90","1,50","2,37","2,35",,"7,30","0,33","1,34","1,86","1,58",,"0,41","8,53","2,07","3,55","4,30"
2019,"5,50","0,45","2,60","3,48","2,69",,"6,28","-10,37","-0,06","-2,10","-2,74",,"3,91","23,71","14,29","19,24","18,51",,"3,00","3,19","0,67","0,98","1,46",,"3,27","1,34","0,54","0,36","0,73",,"2,43","7,17","1,22","2,73","3,58"
2020,"5,24","56,52","5,79","18,06","22,05",,"3,71","71,64","2,91","15,76","21,24",,"8,42","32,96","16,88","23,40","23,99",,"3,73","4,83","-4,58","-3,92","-1,92",,"5,39","5,39","-3,13","-1,98","-0,68",,"0,26","3,95","-10,14","-8,40","-4,88"
2021,"52,01","19,31","2,34","3,85","9,60",,"59,21","23,61","7,34","12,86","15,95",,"37,63","10,66","-14,57","-15,71","-5,25",,"14,66","1,51","-0,69","0,06","0,87",,"21,11","-0,06","0,63","1,72","1,74",,"1,76","4,68","-5,13","-3,55","-1,16"
2022,"23,61","-9,40","-1,29","-4,96","-3,79",,"35,84","-18,21","-1,32","-6,62","-6,18",,"-4,66","10,37","-1,16","-0,13","3,03",,"2,63","0,54","1,18","1,51","1,22",,"3,10","-1,55","-0,22","-0,75","-0,63",,"1,54","5,23","7,10","8,07","6,50"
2023*,"-22,08","5,20","1,06","2,25","1,00",,"-26,92","9,74","1,41","2,61","1,69",,"-6,12","-2,36","-0,45","1,26","-0,81",,"-4,69","18,29","-0,02","7,45","7,80",,"-6,89","26,62","-1,31","8,07","8,87",,"2,54","4,42","5,48","5,76","5,02"
*estimado com dados até jun/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Cepea/CNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
