,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Participação dos ramos e segmentos no PIB do agronegócio,,,,,,,,,,,,,,,,,,Participação dos segmentos em cada ramo do PIB do agronegócio,,,,,,,,,,,,,,,,
2004,"4,7%","18,4%","30,4%","46,6%","100,0%",,"3,3%","13,0%","25,6%","36,5%","78,4%",,"1,4%","5,4%","4,8%","10,1%","21,6%",,"4,7%","18,4%","30,4%","46,6%","100,0%",,"4,2%","16,6%","32,7%","46,5%","100,0%",,"6,4%","24,9%","22,0%","46,7%","100,0%"
2005,"4,0%","16,3%","32,3%","47,4%","100,0%",,"2,5%","11,6%","27,1%","37,0%","78,2%",,"1,5%","4,7%","5,2%","10,4%","21,8%",,"4,0%","16,3%","32,3%","47,4%","100,0%",,"3,2%","14,8%","34,6%","47,3%","100,0%",,"6,8%","21,4%","24,0%","47,8%","100,0%"
2006,"3,4%","18,3%","31,5%","46,7%","100,0%",,"2,1%","14,5%","26,9%","37,9%","81,4%",,"1,3%","3,9%","4,6%","8,8%","18,6%",,"3,4%","18,3%","31,5%","46,7%","100,0%",,"2,6%","17,8%","33,1%","46,6%","100,0%",,"7,1%","20,8%","24,8%","47,4%","100,0%"
2007,"4,1%","19,0%","30,3%","46,6%","100,0%",,"2,8%","14,7%","24,5%","34,8%","76,8%",,"1,3%","4,4%","5,7%","11,8%","23,2%",,"4,1%","19,0%","30,3%","46,6%","100,0%",,"3,6%","19,1%","32,0%","45,3%","100,0%",,"5,7%","18,7%","24,7%","50,8%","100,0%"
2008,"4,9%","20,0%","29,0%","46,1%","100,0%",,"3,5%","13,6%","23,3%","33,4%","73,8%",,"1,4%","6,4%","5,7%","12,7%","26,2%",,"4,9%","20,0%","29,0%","46,1%","100,0%",,"4,8%","18,4%","31,6%","45,3%","100,0%",,"5,4%","24,3%","21,8%","48,4%","100,0%"
2009,"4,1%","17,9%","30,5%","47,5%","100,0%",,"2,7%","12,1%","24,8%","34,6%","74,2%",,"1,4%","5,8%","5,7%","12,9%","25,8%",,"4,1%","17,9%","30,5%","47,5%","100,0%",,"3,7%","16,4%","33,4%","46,6%","100,0%",,"5,5%","22,4%","22,1%","50,0%","100,0%"
2010,"3,9%","20,1%","29,1%","46,9%","100,0%",,"2,6%","14,0%","23,4%","33,8%","73,8%",,"1,3%","6,1%","5,7%","13,1%","26,2%",,"3,9%","20,1%","29,1%","46,9%","100,0%",,"3,6%","19,0%","31,7%","45,7%","100,0%",,"4,9%","23,4%","21,7%","50,1%","100,0%"
2011,"4,2%","23,1%","27,6%","45,1%","100,0%",,"2,8%","17,0%","22,6%","33,7%","76,1%",,"1,4%","6,1%","5,0%","11,4%","23,9%",,"4,2%","23,1%","27,6%","45,1%","100,0%",,"3,6%","22,4%","29,7%","44,3%","100,0%",,"6,1%","25,3%","20,9%","47,7%","100,0%"
2012,"4,6%","21,9%","28,3%","45,2%","100,0%",,"3,1%","16,4%","23,5%","34,6%","77,6%",,"1,5%","5,4%","4,8%","10,6%","22,4%",,"4,6%","21,9%","28,3%","45,2%","100,0%",,"4,0%","21,2%","30,2%","44,6%","100,0%",,"6,8%","24,2%","21,6%","47,4%","100,0%"
2013,"4,7%","22,5%","27,8%","45,0%","100,0%",,"3,2%","15,1%","22,5%","32,9%","73,8%",,"1,5%","7,4%","5,3%","12,1%","26,2%",,"4,7%","22,5%","27,8%","45,0%","100,0%",,"4,4%","20,5%","30,5%","44,6%","100,0%",,"5,6%","28,3%","20,1%","46,1%","100,0%"
2014,"4,6%","22,4%","27,6%","45,5%","100,0%",,"3,1%","14,0%","21,7%","31,4%","70,2%",,"1,5%","8,4%","5,9%","14,1%","29,8%",,"4,6%","22,4%","27,6%","45,5%","100,0%",,"4,4%","19,9%","30,9%","44,8%","100,0%",,"4,9%","28,2%","19,7%","47,2%","100,0%"
2015,"4,3%","21,5%","27,5%","46,6%","100,0%",,"2,9%","13,7%","21,5%","31,8%","69,9%",,"1,4%","7,8%","6,0%","14,9%","30,1%",,"4,3%","21,5%","27,5%","46,6%","100,0%",,"4,1%","19,7%","30,7%","45,5%","100,0%",,"4,7%","25,9%","20,0%","49,3%","100,0%"
2016,"4,1%","22,7%","26,8%","46,5%","100,0%",,"2,6%","15,3%","21,2%","32,9%","72,0%",,"1,5%","7,4%","5,5%","13,6%","28,0%",,"4,1%","22,7%","26,8%","46,5%","100,0%",,"3,6%","21,2%","29,5%","45,7%","100,0%",,"5,3%","26,4%","19,7%","48,6%","100,0%"
2017,"4,1%","22,0%","27,3%","46,6%","100,0%",,"2,6%","15,1%","21,5%","32,5%","71,8%",,"1,5%","6,9%","5,8%","14,1%","28,2%",,"4,1%","22,0%","27,3%","46,6%","100,0%",,"3,7%","21,0%","29,9%","45,3%","100,0%",,"5,2%","24,4%","20,5%","49,8%","100,0%"
2018,"4,6%","21,3%","27,8%","46,3%","100,0%",,"3,1%","14,5%","22,6%","34,2%","74,4%",,"1,5%","6,8%","5,1%","12,1%","25,6%",,"4,6%","21,3%","27,8%","46,3%","100,0%",,"4,2%","19,5%","30,4%","45,9%","100,0%",,"6,0%","26,4%","20,1%","47,5%","100,0%"
2019,"4,8%","20,8%","27,7%","46,7%","100,0%",,"3,2%","12,7%","22,0%","32,6%","70,5%",,"1,5%","8,1%","5,7%","14,1%","29,5%",,"4,8%","20,8%","27,7%","46,7%","100,0%",,"4,6%","18,0%","31,2%","46,2%","100,0%",,"5,2%","27,6%","19,4%","47,8%","100,0%"
2020,"4,1%","26,7%","24,0%","45,2%","100,0%",,"2,7%","17,8%","18,6%","30,9%","70,0%",,"1,4%","8,9%","5,5%","14,2%","30,0%",,"4,1%","26,7%","24,0%","45,2%","100,0%",,"3,9%","25,4%","26,5%","44,2%","100,0%",,"4,6%","29,6%","18,3%","47,5%","100,0%"
2021,"5,7%","29,0%","22,4%","42,8%","100,0%",,"4,0%","20,1%","18,2%","31,8%","74,1%",,"1,7%","8,9%","4,3%","11,0%","25,9%",,"5,7%","29,0%","22,4%","42,8%","100,0%",,"5,4%","27,1%","24,5%","43,0%","100,0%",,"6,7%","34,5%","16,5%","42,3%","100,0%"
2022,"7,3%","27,3%","23,0%","42,3%","100,0%",,"5,6%","17,1%","18,6%","30,9%","72,3%",,"1,7%","10,3%","4,4%","11,4%","27,7%",,"7,3%","27,3%","23,0%","42,3%","100,0%",,"7,8%","23,6%","25,8%","42,8%","100,0%",,"6,2%","37,0%","15,8%","41,0%","100,0%"
2023*,"5,7%","28,5%","23,0%","42,8%","100,0%",,"4,1%","18,6%","18,7%","31,4%","72,8%",,"1,6%","9,9%","4,3%","11,4%","27,2%",,"5,7%","28,5%","23,0%","42,8%","100,0%",,"5,6%","25,5%","25,7%","43,2%","100,0%",,"5,8%","36,4%","15,9%","41,8%","100,0%"
*estimado com dados até jun/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Cepea/CNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
